image,dataset,vessel_density,vessel_tortuosity,branching_points,vessel_length,average_vessel_width,ridge_width,max_ridge_height,neovascularization_score,disk_diameter,disk_circularity,disk_center_x,disk_center_y
001_F_GA41_BW2905_PA47_DG11_PF0_D1_S02_4.jpg,02,0.9435615539550781,0.0,0,2471,35.459428149858056,15.762635,921.7863092929945,19442,712.2530949361325,0.018060199709103376,225.06557640373862,217.1400475860615
001_F_GA41_BW2905_PA47_DG11_PF0_D1_S02_1.jpg,02,0.9680671691894531,0.0,0,2502,41.56938358012065,20.5226,855.716074407861,18847,648.5186862511512,0.031551656915543506,233.40790748365222,215.88167837248727
001_F_GA41_BW2905_PA47_DG11_PF0_D1_S02_18.jpg,02,0.9313926696777344,0.0,0,1749,54.739196447530844,20.341982,726.1129388738366,26819,703.8155947109332,0.027142897465716343,254.00442100284795,226.09213164307084
001_F_GA41_BW2905_PA47_DG11_PF0_D1_S02_13.jpg,02,0.9713172912597656,0.0,0,2431,40.38227947732846,18.24721,917.4976839207825,17393,634.7631789641792,0.02707478834687951,218.73552089389995,218.21858331016003
001_F_GA41_BW2905_PA47_DG11_PF0_D1_S02_11.jpg,02,0.8002243041992188,0.0,0,2672,32.77474200051366,13.888817,900.9250801259781,28048,788.3680893625776,0.02390948796070018,265.0490347110689,242.98760201907635
001_F_GA41_BW2905_PA47_DG11_PF0_D1_S02_6.jpg,02,0.9559516906738281,0.0,0,3300,30.33736750742159,10.613002,933.0133975458231,23933,736.7097625626855,0.014311790185464654,234.09448515957098,216.54733641746506
001_F_GA41_BW2905_PA47_DG11_PF0_D1_S02_14.jpg,02,0.6429710388183594,0.0,0,1958,32.89455303613445,27.375526,823.7718130647588,24692,788.335788064586,0.03439950138141513,263.1582121842886,250.82320161277104
001_F_GA41_BW2905_PA47_DG11_PF0_D1_S02_9.jpg,02,0.8331756591796875,0.0,0,2683,33.83423468628661,15.626235,849.4198019825062,30325,768.6805116861995,0.031384923694127896,252.9773395278278,223.40281165691235
001_F_GA41_BW2905_PA47_DG11_PF0_D1_S02_15.jpg,02,0.3398399353027344,0.0,0,1680,16.336725182261407,27.28752,929.0048439055632,21254,757.5282587548387,0.03054480970183163,274.95124916796095,265.1879565120923
001_F_GA41_BW2905_PA47_DG11_PF0_D1_S02_17.jpg,02,0.6412925720214844,0.0,0,2569,22.38140236301192,30.148754,766.322386466688,25243,805.1157340301146,0.04621992706416501,233.0799522297998,237.73749175021214
001_F_GA41_BW2905_PA47_DG11_PF0_D1_S02_10.jpg,02,0.9801559448242188,0.0,0,2827,39.38838796754877,19.193943,909.373410651532,17056,664.4457635500803,0.029012914586708113,226.9331033846296,217.92475140161042
001_F_GA41_BW2905_PA47_DG11_PF0_D1_S02_12.jpg,02,0.610260009765625,0.0,0,2795,23.01168799750474,12.725873,915.3119686751616,28327,772.9487893860426,0.023421144869705205,262.20567901866013,236.1230851852799
001_F_GA41_BW2905_PA47_DG11_PF0_D1_S02_16.jpg,02,0.01776123046875,0.0,0,256,5.8909610897061,35.667164,979.5519383881592,16575,522.4139641461479,0.03902797220796566,333.59185996603657,273.1131057905835
001_F_GA41_BW2905_PA47_DG11_PF0_D1_S02_5.jpg,02,0.9171333312988281,0.0,0,2703,37.75722743933911,11.425074,921.5660584027604,23749,723.1352390672926,0.014735209372433824,230.21736335657798,216.40541119638473
001_F_GA41_BW2905_PA47_DG11_PF0_D1_S02_3.jpg,02,0.907501220703125,0.0,0,3246,25.651408635611478,12.576993,926.002159824695,22503,717.3936227053532,0.016678801702812728,225.50214740925463,218.84577247357797
